SERVICE_ID,BLOCK_ID,PULLOUTTIME,PULLINTIME
4,2007,34200,88620
4,2008,35160,93780
4,2201,12000,93660
4,2202,12900,94320
4,2203,13800,92520
4,2204,14700,91860
4,2205,15600,71460
4,2206,31200,90720
4,2207,32700,71100
4,2301,13440,92700
4,2302,14700,90900
4,2303,15240,72060
4,2304,37440,91320
4,2501,12300,70560
4,2502,14220,93540
4,2503,14100,91740
4,2504,31620,91560
4,2505,31500,70740
4,2701,14040,70080
4,2702,19920,90480
4,2703,32940,90600
4,3001,12780,91860
4,3002,18720,72000
4,3003,36900,90060
4,3801,12840,51360
4,3802,13500,72120
4,3803,12720,51720
4,3804,13620,68520
4,3805,35520,93000
4,3806,35520,92640
4,3851,48720,92160
4,3852,48720,92460
4,5701,13020,67800
4,5702,18420,72180
4,5703,14820,92160
4,5704,19920,91080
4,5705,16620,93960
4,5706,26040,71760
4,5707,33420,90360
4,5708,35040,92880
4,10101,17040,90780
4,10102,22980,88800
4,10103,15900,90600
4,10104,17700,92400
4,10105,19500,94200
4,10201,16620,90900
4,10202,14820,90480
4,10301,15900,88500
4,10302,17700,90300
4,10401,16560,90660
4,10402,17280,89880
4,10403,18360,92460
4,10404,19080,91680
4,10601,15480,91380
4,10602,17280,91020
4,10801,13320,90120
4,10802,15120,91920
4,10803,15120,91980
4,10804,16920,90180
4,10901,14580,91140
4,10902,16380,90420
4,10903,18180,89340
4,11401,17280,91620
4,11402,18180,88860
4,11403,19080,89820
4,11404,25380,90660
4,12201,14100,90540
4,12801,12780,90180
4,12802,14580,91980
4,12803,16380,91320
4,14101,13680,91980
4,14102,15480,89700
4,14501,15120,88620
4,14502,16920,90420
4,14503,17220,90300
4,14504,18720,92220
4,14701,14820,91200
4,14702,15720,90540
4,14703,16620,93000
4,14704,17520,89400
4,14705,23820,69720
4,20001,15300,94320
4,20002,15600,70860
4,20003,24300,92220
4,20004,34500,91980
4,20051,56400,73320
4,20201,13500,68640
4,20202,13800,93840
4,20203,24600,72840
4,20301,16020,70980
4,20302,32820,91320
4,20401,14460,91320
4,20402,32820,68520
4,20501,15000,90060
4,20502,15180,90900
4,20701,15000,87000
4,20702,17700,91200
4,21201,14100,91080
4,21301,16260,90000
4,21401,13620,91800
4,21402,16020,90360
4,21403,32820,74040
4,21501,17040,90720
4,21502,17460,89580
4,21601,17280,89340
4,21602,15240,91020
4,21701,15660,69780
4,21702,35520,90600
4,21801,15120,90540
